query,newUrl,GT Planning
Florham Park Sports Dome,https://www.indoorsportsandevents.com/camps,week 3 test
Art Barn Camp,https://www.christinejoydesign.com/summer-camp-2025,
Camp at the Lake,https://www.montclairymca.org/camps/camp-at-the-lake/,week 3 test
Camp Prospect,https://www.campprospect.org/,week 3 test
Camp Riverbend,https://campriverbend.com/,week 3 test
Class Act Performing Arts Studio - Broadway Starz,https://www.classactpas.com/summer-rec-program,week 3 test
Cora Hartshorn Arborteum - Explorers,https://hartshornarboretum.org/program/camps-2/,week 3 test
Curious Kids - 2 Hour,https://www.curiouskidsnj.com/summer-camp,week 3 test
Diamond Gymnastics - Full Day,http://diamondgymnastics.com/summer-camp,week 3 test
Dingers - Softball or Baseball,https://dingersnj.com/camp-registration,week 3 test
Funky Fun Art,https://www.funkyfunart.com/summer-camp-info,week 3 test
Girl Scout Camp at the OVAL,https://www.gshnj.org/en/discover/our-council/our-camps/summer-camp.html,week 3 test
Harbor Haven - Bright Beginnings,https://www.harborhaven.com/divisions/,week 3 test
Jazz House Kids Summer Workshop,https://jazzhousekids.org/programs/montclair/jazz-house-summer-workshop/,week 3 test
JCC Metro West - A-Money Sportz Basketball Camp,https://jccmetrowest.org/programs/camps/basketball/,week 3 test
Jeff Lake Camp,https://www.jefflakecamp.com/,week 3 test
Little Apple Arts - Half Day,https://www.littleapplearts.com/summercamp,week 3 test
Little Foxes - 2 Hours,https://www.littlefoxesplay.com/summer-camp,week 3 test
Magic for Muggles Harry Potter Camp,https://montclairmagiccamp.com/,
Maplewood Outside School,https://maplewoodoutsideschool.com/summer-header-1,
Meadowbrook Country Day Camp,https://www.meadowbrookdaycamp.com/,week 3 test
Millburn Co-op - 3-4 Years,https://www.millburncoop.org/summer-camp,week 3 test
Miss Shona's PAC - AM,https://missshona.com/,
Montclair Art Museum,https://www.montclairartmuseum.org/summerart,week 3 test
Motion Arts Dance,https://www.motionartsdancestudios.com/dancecamp,week 3 test
MPAC Performing Arts Camp,https://www.mayoarts.org/education/performing-arts-school/,week 3 test
New Horizons Day Camp,https://www.newhorizonsdaycamp.com/,week 3 test
Newark Museum,https://newarkmuseumart.org/learn/camp-nmoa-2024/,week 3 test
Oak Knoll - Day Camp Counselor-in-Training,https://www.oakknoll.org/summer,
Outdoor Play Connection,https://www.outdoorplayconnection.com/camps,week 3 test
Playhouse Nursery - ¾ Day,https://www.playhouseonline.org/summer,week 3 test
Proventus Kids - Full Day,https://www.proventuskids.com/summer-camps,week 3 test
SOMAS Children's Summer Programs,https://www.somadultschool.org/childrensclasses,
Sunburst Gymnastics,https://www.sunburstnj.com/,
The Connection - AM,https://www.theconnectiononline.org/camp-connection/,
The Visual Arts Center of NJ Tween Art Camp,https://www.artcenternj.org/school-studio/art-camp/2025-summer-art-camp-for-teens-ages-13/,week 3 test
Willow Lake Day Camp,https://willowlakedaycamp.com/,
